Timestamp: 2024-06-23 08:49:03,529, URL: Multi, Downloaded: False, Download_Type: parVids
Timestamp: 2024-06-23 08:49:03,593, URL: parVids, Downloaded: False, Download_Type: Multi
Timestamp: 2024-06-23 08:49:05,507, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Multi
Timestamp: 2024-06-23 08:49:05,779, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Multi
Timestamp: 2024-06-23 08:49:06,914, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: parVids
Timestamp: 2024-06-23 08:49:40,428, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:49:41,850, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:49:43,210, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:49:44,703, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:49:45,979, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:49:55,108, URL: Multi, Downloaded: False, Download_Type: parVids
Timestamp: 2024-06-23 08:49:55,109, URL: Multi, Downloaded: False, Download_Type: https://www.youtube.com/watch?v=5c-Tnn9oxek
Timestamp: 2024-06-23 08:49:55,109, URL: Multi, Downloaded: False, Download_Type: parVids
Timestamp: 2024-06-23 08:49:55,110, URL: Multi, Downloaded: False, Download_Type: https://www.youtube.com/watch?v=LT7f9ZJhb94
Timestamp: 2024-06-23 08:49:57,283, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: parVids
Timestamp: 2024-06-23 08:51:45,162, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
